0,-0.5,0.9,0,0,0,0,0,0,0,0,0,
-0.310998,-0.496621,1.02049,-0.621995,0.00675835,0.240988,-0.321534,0.472541,-0.67261,0.3,0.3,-0.3,
-0.621995,-0.493242,1.14099,-0.5,-0.0866913,0.344497,-0.362224,0.373541,-0.537426,-0.3,0.3,-0.3,
-1.062,-0.633235,1.26952,-0.5,-0.223377,-0.0177901,-0.209307,0.241541,-0.444747,0.3,0.3,-0.3,
-1.34877,-0.801026,1.22948,-0.280817,-0.270107,-0.101259,-0.287734,0.142541,-0.325134,0.3,0.3,-0.3,
-1.41515,-1.01556,1.1635,0.0604719,-0.262521,-0.0739893,-0.390095,0.028541,-0.188088,-0.3,-0.3,-0.3,
-1.32392,-1.16814,1.09974,0.254875,-0.244602,-0.130696,-0.300895,0.112541,-0.180592,-0.3,0.3,0.3,
-1.0777,-1.32705,1.02684,0.458653,-0.240812,-0.0832636,-0.208209,0.013541,-0.28899,-0.3,0.3,0.3,
-0.65323,-1.52671,1.03528,0.5,-0.209171,0.103203,-0.0759672,-0.115459,-0.382026,-0.3,0.3,-0.3,
-0.225105,-1.6605,1.18817,0.458024,-0.0944758,0.241351,0.0276278,-0.233257,-0.231909,-0.3,-0.3,-0.3,
-0.0203196,-1.69808,1.3962,0.0888039,-0.0114016,0.269903,0.121626,-0.110257,-0.0901644,0.3,-0.3,-0.3,
0,-1.7,1.5,0,0,0,0,0,0,0,0,0,
-0.0231992,-1.69993,1.63022,-0.0958299,-1.51646e-05,0.290255,0.125772,-0.108958,0.131747,0.3,-0.3,0.3,
-0.172888,-1.69693,1.82581,-0.347901,0.0198189,0.224599,0.247971,-0.219958,0.0822975,0.3,-0.3,-0.3,
-0.44896,-1.66216,1.92849,-0.5,0.115386,0.100399,0.358267,-0.309958,0.0158694,0.3,-0.3,-0.3,
-0.80896,-1.51904,1.94509,-0.5,0.271825,-0.0601349,0.44296,-0.208366,0.130653,0.3,0.3,0.3,
-1.16896,-1.29493,1.89619,-0.5,0.335005,-0.0558329,0.330319,-0.100366,0.230447,-0.3,0.3,0.3,
-1.47313,-1.08572,1.87932,-0.459569,0.337155,0.012507,0.23235,-0.00736571,0.321758,-0.3,0.3,0.3,
-1.75929,-0.801561,1.92054,-0.168253,0.33635,0.0730619,0.336063,0.118634,0.235496,0.3,0.3,-0.3,
-1.76066,-0.593478,1.96143,0.189405,0.311408,0.0584948,0.237444,0.214634,0.151473,-0.3,0.3,-0.3,
-1.482,-0.394349,2.02955,0.5,0.235373,0.12556,0.277089,0.319634,0.0266585,0.3,0.3,-0.3,
-1.082,-0.280694,2.12751,0.5,0.0366923,0.120897,0.361017,0.206438,-0.128463,0.3,-0.3,-0.3,
-0.782002,-0.31009,2.16128,0.5,-0.162924,-0.0240112,0.426904,0.287163,-0.246371,0.3,0.3,-0.3,
-0.402002,-0.55077,2.11029,0.5,-0.441525,-0.0933827,0.345498,0.184296,-0.130891,-0.3,-0.3,0.3,
0.0379984,-0.471845,1.98731,0.5,0.464319,-0.170462,0.230303,0.0522961,0.0224077,-0.3,-0.3,0.3,
0.168999,0.264077,1.94365,0.131001,0.735923,-0.0436547,0.135542,0.146452,0.138628,-0.3,0.3,0.3,
0.3,1,1.9,0,0,0,0,0,0,0,0,0
